Angle,Period,BeamSigmaX,BeamSigmaY,Mean,Std,Background,Peak
90.0,292.0,217.1817520513042,196.70230914544572,0.08682497,0.16161902,0.0,0.72619045
90.0,290.5,210.7495820657084,196.26606494113378,0.07428424,0.14571148,0.0,0.6969697
94.23639479905881,600.0,202.3889419713739,196.0923914057828,0.08155605,0.16114533,0.0,0.7582418
94.39870535499551,601.0,201.97319707405262,196.1388004747756,0.07815851,0.15470876,0.0,0.7263158
94.57392125990086,642.5,201.61502415818725,196.13959688686256,0.07816081,0.15495044,0.0,0.7263158
92.29061004263852,6.0,201.4597397440135,196.17217970219153,0.07901564,0.15689352,0.0,0.7340425
92.29061004263852,5.5,201.62972216098092,196.20083554167812,0.078235246,0.15537506,0.0,0.7263158
92.20259816176579,,201.80254397325632,196.21651297926263,0.07584718,0.1507109,0.0,0.71428573
92.0454084888872,2.0,202.8424314975375,196.1804964489283,0.07433879,0.14721926,0.0,0.7
91.90915243299636,,204.09825131346926,196.11640940146486,0.07907932,0.15598562,0.0,0.7340425
91.8476102659946,326.0,205.08276412033206,196.07376389060767,0.07137685,0.14048176,0.0,0.65384614
91.73570458892837,646.0,206.22429948936013,196.06588167831566,0.0765303,0.15027307,0.0,0.7113402
90.0,159.5,210.83511191120147,196.2927646177535,0.06808092,0.13398367,0.0,0.6388889
91.73570458892837,,206.56894204655333,196.13516814331325,0.07138111,0.14025496,0.0,0.65384614
91.63657704161673,8.0,207.99230039575872,196.03363660511866,0.071358696,0.1398231,0.0,0.65384614
91.63657704161673,,208.61406756498167,196.03188338856978,0.069925345,0.13695852,0.0,0.6415094
91.59114027119458,620.0,208.96323207479807,196.15399513351775,0.07178424,0.14015616,0.0,0.65686274
91.54815769897795,310.0,209.76276957002798,196.06507881361065,0.06866498,0.13473403,0.0,0.6296296
90.0,6.5,210.40633651406387,196.01829972065588,0.06868947,0.13483177,0.0,0.6388889
90.0,8.0,211.86283887460365,195.88411016574315,0.068112455,0.13349618,0.0,0.6330275
90.0,291.0,212.12345677296295,196.11040864899533,0.06993145,0.1369258,0.0,0.6509434
90.0,8.0,211.91512582205337,195.98457401965268,0.068048395,0.13351095,0.0,0.6330275
90.0,8.0,211.71704133144738,195.9356343740304,0.06684314,0.13164027,0.0,0.6306306
90.0,295.5,210.40860952437046,196.31147744715247,0.07669604,0.14878845,0.0,0.6979167
90.0,7.0,211.66685965451512,196.3773766533702,0.07558679,0.1480355,0.0,0.70408165
90.0,9.0,211.44891434387608,196.11637629032595,0.06805228,0.13426681,0.0,0.64220184
90.0,,211.3280208003298,195.99416328538769,0.06683418,0.131974,0.0,0.6306306
90.0,13.0,210.91888795393416,196.1112541253835,0.07492238,0.14476192,0.0,0.6666667
90.0,6.0,210.445956646159,196.0561551913104,0.06748117,0.13306846,0.0,0.6272727
90.0,12.0,209.4208204006699,196.216418355514,0.07347734,0.14467864,0.0,0.6831683
90.0,284.5,208.13086708535408,196.28297566842164,0.0713517,0.14091584,0.0,0.6730769
90.0,286.0,207.87816074302273,196.26294277255093,0.06868273,0.13568847,0.0,0.6388889
90.0,8.0,207.58092618931298,196.18437125512526,0.071420796,0.14083594,0.0,0.66346157
90.0,9.0,207.39112143627563,196.21538680032646,0.07817381,0.15361127,0.0,0.7263158
90.0,291.5,210.8010192558923,196.29886042080082,0.06695426,0.13240223,0.0,0.6272727
90.0,561.0,207.2928275603412,196.23869537542768,0.07740105,0.15202674,0.0,0.71875
91.63657704161673,309.5,207.36915688781727,196.1990264862218,0.0707522,0.13877052,0.0,0.63809526
91.63657704161673,619.0,207.43304481817248,196.19602884274747,0.07355382,0.14394365,0.0,0.6633663
91.63657704161673,310.0,207.2924413739864,196.1820496134685,0.079922214,0.156056,0.0,0.7311828
91.63657704161673,14.0,207.14232144869104,196.28635628680112,0.08334941,0.16175051,0.0,0.75
91.59114027119458,307.0,207.63421785395397,196.0995187871493,0.07431395,0.1445971,0.0,0.66
91.59114027119458,4.0,207.91801231548615,196.0898358267852,0.075811245,0.14720258,0.0,0.67346936
91.59114027119458,4.0,208.2842546834781,196.07375694148658,0.079036586,0.15314497,0.0,0.70212764
91.54815769897795,309.0,208.48021767873658,196.1193432360543,0.08349141,0.16129905,0.0,0.752809
91.54815769897795,,208.23812428008102,196.05092460912573,0.07742799,0.14976394,0.0,0.6875
90.0,7.0,210.49196327114626,196.29308446892853,0.07098549,0.14123644,0.0,0.6826923
91.59114027119458,309.0,207.4304943154611,196.11801901864786,0.08168103,0.15824234,0.0,0.73626375
91.63657704161673,3.0,206.54834982743722,196.14511426568384,0.07823662,0.15208825,0.0,0.69473684
91.68468431789628,9.0,205.883967798948,196.13910235261233,0.08163971,0.1590624,0.0,0.74725276
91.68468431789628,323.5,205.71705360654676,196.13516429546237,0.08255961,0.16092344,0.0,0.75555557
91.68468431789628,11.0,205.8791688771512,196.15427819084883,0.08171308,0.15911537,0.0,0.73626375
91.63657704161673,13.0,206.73024456113046,196.13672035482764,0.08257714,0.16031738,0.0,0.75555557
91.59114027119458,324.5,207.43344914015313,196.11992875920834,0.08744296,0.1691309,0.0,0.7882353
91.54815769897795,9.0,208.1007292302587,196.15420861314644,0.08954116,0.17277248,0.0,0.8072289
91.54815769897795,324.5,208.58648493399025,196.1761365279026,0.0884551,0.17034246,0.0,0.78571427
91.54815769897795,310.0,208.41377018514297,196.18683067773887,0.087434106,0.16858396,0.0,0.7882353
90.0,,210.82007078835804,196.30884254280187,0.071052365,0.14138387,0.0,0.6923077
91.54815769897795,308.0,208.58035745373385,196.25417686250958,0.087456696,0.1684533,0.0,0.7882353
90.0,195.66666666666666,211.46151995744833,196.32706413127758,0.06542194,0.13013147,0.0,0.61946905
90.0,289.0,211.855701100848,196.26948569761518,0.06788625,0.13527103,0.0,0.6605505
90.0,7.0,211.93572303072548,196.3062992830083,0.0706094,0.1404814,0.0,0.6857143
90.0,148.5,212.13800278585262,196.46738326157816,0.068120174,0.13512205,0.0,0.6542056
90.0,198.66666666666666,215.81000800794595,196.12722659139072,0.08285762,0.15568054,0.0,0.70454544
90.0,284.0,212.32993611326052,196.31853999084512,0.07266964,0.1415564,0.0,0.6666667
90.0,13.5,212.11159797425142,196.3575945515552,0.07080913,0.13940094,0.0,0.6699029
90.0,195.33333333333334,211.48180011964985,196.36724417385426,0.065506995,0.1295142,0.0,0.61946905
90.0,208.66666666666666,210.43003438377923,196.44012443840955,0.06617826,0.13106318,0.0,0.6339286
90.0,195.33333333333334,211.56520324297838,196.40642362513498,0.0666907,0.13094799,0.0,0.6126126
90.0,9.0,213.0289615902582,196.39668009566864,0.072195135,0.13899831,0.0,0.64356434
90.0,287.5,214.15728654550713,196.34525896534635,0.07048737,0.13621217,0.0,0.63809526
90.0,215.33333333333334,214.5208251702643,196.4816186024517,0.08191472,0.15606858,0.0,0.71910113
90.0,583.0,215.20474043584258,196.5094325616785,0.080942795,0.15342492,0.0,0.7
90.0,195.66666666666666,215.85167259845164,196.11795978861645,0.07879302,0.14996782,0.0,0.69148934
90.0,291.0,215.5858683257819,196.35813907380785,0.08779227,0.16472664,0.0,0.74698794
88.45184230102203,290.5,214.7232120624053,196.53677613236474,0.07716013,0.14710793,0.0,0.6770833
88.45184230102203,291.5,214.81003180051093,196.79845636975665,0.07704517,0.14609508,0.0,0.6666667
88.45184230102203,289.0,214.82603728422302,196.63920155323174,0.07805893,0.14816748,0.0,0.68421054
88.45184230102203,211.66666666666666,214.9512320773041,196.67533742924078,0.08128057,0.15352777,0.0,0.6923077
88.45184230102203,,214.64720455931462,196.32053513146803,0.08154405,0.15450972,0.0,0.7032967
88.45184230102203,,214.51978638216525,196.8152441275793,0.079705566,0.15049493,0.0,0.67741936
90.0,310.5,214.61940233443806,196.070647414482,0.08251302,0.15616013,0.0,0.7111111
90.0,576.0,214.47322336833452,196.63513365919695,0.08061708,0.15206106,0.0,0.6847826
90.0,313.5,214.41163077740003,196.32890122960953,0.08341428,0.15756345,0.0,0.71910113
90.0,212.66666666666666,214.5654886323445,196.3276197833882,0.090439186,0.17057773,0.0,0.7804878
90.0,130.4,215.120471077598,196.38631016811976,0.084632695,0.15942107,0.0,0.7209302
90.0,209.66666666666666,214.44444821771435,196.58690692649353,0.08523225,0.16040203,0.0,0.7241379
90.0,162.0,214.7207937735713,196.18423715137527,0.09041959,0.1704466,0.0,0.7804878
90.0,629.0,214.87707450852426,196.3311226559053,0.090405606,0.1701014,0.0,0.7804878
90.0,320.0,214.82348090826835,196.13597338570506,0.089332335,0.16836677,0.0,0.7710843
90.0,312.0,214.40971298600948,196.3489499967128,0.08061649,0.15199614,0.0,0.6847826
90.0,10.5,213.46307965279888,196.1405401032804,0.08240867,0.15619679,0.0,0.7111111
90.0,209.33333333333334,211.80432885289312,196.44747734577524,0.08724076,0.1660305,0.0,0.7647059
90.0,628.0,211.2066256783263,196.35421015307696,0.086252816,0.16443919,0.0,0.75581396
90.0,209.66666666666666,210.7739965470295,196.31390033760613,0.08153642,0.15596564,0.0,0.71428573
90.0,10.0,210.34027182067513,196.3790055224982,0.07974914,0.15289767,0.0,0.6989247
90.0,160.5,214.53410415419606,196.21085092109573,0.083504714,0.15758711,0.0,0.71590906
90.0,576.0,210.02774353673826,196.39868660538897,0.08521909,0.1635109,0.0,0.7586207
90.0,313.0,209.78413279910384,196.33743882741518,0.080583826,0.15504172,0.0,0.7173913
90.0,208.66666666666666,209.70204125060212,196.37918389816463,0.07723555,0.14879927,0.0,0.6770833
90.0,285.0,209.64895325862136,196.40600319151528,0.07483399,0.14429952,0.0,0.65656567
90.0,313.0,209.4091238190614,196.3328112199639,0.07638689,0.14771758,0.0,0.68041235
90.0,195.66666666666666,210.0054476725689,196.38450749458607,0.07407443,0.14303404,0.0,0.65
90.0,292.5,210.04623446957973,196.38213319255738,0.07555934,0.14616176,0.0,0.67346936
90.0,159.25,210.9167995064877,196.33540318472393,0.07485044,0.14458665,0.0,0.6666667
90.0,287.5,211.26845474473896,196.2938552086128,0.07483656,0.14471263,0.0,0.6666667
90.0,212.33333333333334,210.57231537554418,196.3350911755777,0.07865812,0.15085293,0.0,0.68817204
90.0,161.0,213.3969058775933,196.15381146702867,0.07424237,0.14257039,0.0,0.65656567
90.0,286.5,209.9256811589089,196.1734349863192,0.07725525,0.15101354,0.0,0.71875
90.0,13.5,209.15403873854927,196.29849611887622,0.071979545,0.14141937,0.0,0.6699029
90.0,11.0,208.78492965172978,196.23975381622984,0.06928785,0.13690154,0.0,0.6542056
91.63657704161673,311.0,210.26487054284075,196.19799476458536,0.06675906,0.13165002,0.0,0.6216216
91.59114027119458,621.0,211.96607968370972,196.10019954449137,0.06737273,0.13232371,0.0,0.6272727
91.50743575877496,572.0,213.3579763967372,196.12318015905416,0.06858034,0.13406314,0.0,0.6388889
91.50743575877496,623.0,213.85778740924974,196.03613422998743,0.06733954,0.13197063,0.0,0.6272727
91.46880071438582,,214.43544937592216,195.87049725365435,0.066778265,0.13080257,0.0,0.6216216
91.46880071438582,207.33333333333334,215.22659292475714,195.84076750765942,0.06799205,0.13235459,0.0,0.6238532
91.43209618416464,302.5,215.6856671844015,195.87610650338758,0.06673538,0.13034283,0.0,0.6216216
90.0,,211.9776291469443,196.2115831758341,0.07663294,0.14823757,0.0,0.6979167
91.43209618416464,621.0,215.81202168315164,195.99422577724354,0.07058594,0.13729298,0.0,0.6571429
91.46880071438582,10.0,214.8161579425633,195.83079299872534,0.066751175,0.13050403,0.0,0.6216216
91.46880071438582,652.0,214.01276217868352,195.85381422027075,0.0692285,0.13497742,0.0,0.635514
93.01278750418334,295.5,213.36543295291816,195.8219661262365,0.06861546,0.13432108,0.0,0.6388889
93.09405805891711,580.0,212.61074088574972,195.85124888367028,0.069217704,0.13544475,0.0,0.6448598
93.09405805891711,293.5,212.26850726493106,195.78295910278848,0.07052967,0.13767259,0.0,0.64761907
93.09405805891711,584.0,211.96999178523154,195.7912430163837,0.069221444,0.13494556,0.0,0.62616825
93.09405805891711,386.0,211.9307462974008,195.7752673368891,0.07194106,0.13993189,0.0,0.65048546
93.09405805891711,585.0,211.88939065171877,195.77690791813924,0.07057874,0.13701858,0.0,0.63809526
93.09405805891711,,211.77751849181183,195.7883238495708,0.07336809,0.142046,0.0,0.65346533
90.0,11.0,211.3221847717324,196.3169820899474,0.07652528,0.14757444,0.0,0.68421054
94.63546342690265,601.0,211.70026580322838,195.7696620037325,0.07492387,0.14480847,0.0,0.67676765
94.63546342690265,643.0,211.48658943532376,195.78207002974136,0.0719222,0.13877854,0.0,0.6407767
94.63546342690265,425.3333333333333,211.3434648159821,195.7539143929028,0.07639459,0.14717196,0.0,0.6701031
93.17983011986425,421.0,210.9863201002174,195.8014451541809,0.0756564,0.14571401,0.0,0.67346936
93.17983011986425,372.3333333333333,210.13273712284675,195.79597452795937,0.07807512,0.15061085,0.0,0.69473684
93.36646066342982,411.3333333333333,208.79656578087355,195.81254203388883,0.083386965,0.16143988,0.0,0.752809
93.46822925891712,420.0,207.40234836764597,195.90893691420288,0.07980313,0.15509646,0.0,0.7096774
93.57633437499734,593.0,206.4304690562458,195.90169085754516,0.08075071,0.1573882,0.0,0.73913044
